,months,seasonality_avg
0,1,-2652846.197916666
1,2,-2180746.40625
2,3,-959756.4895833342
3,4,-169899.4479166672
4,5,739502.1770833347
5,6,1164328.3020833337
6,7,2403603.40625
7,8,3638949.34375
8,9,1732174.6562499998
9,10,593762.2187499998
10,11,-1938821.3645833333
11,12,-2370250.197916666
