,months,seasonality_avg
0,1,-1238774.3437499998
1,2,-1647422.0520833337
2,3,-1678102.6354166672
3,4,-1590296.0520833337
4,5,-729005.9270833333
5,6,471580.4895833337
6,7,1094640.8854166667
7,8,3849622.90625
8,9,2089022.1354166667
9,10,830189.15625
10,11,-656277.8854166665
11,12,-795176.6770833333
