,Type,Date,Value
141,Turismo no espaço rural e de habitação,Março de 2020,17103
142,Turismo no espaço rural e de habitação,Fevereiro de 2020,48580
143,Turismo no espaço rural e de habitação,Janeiro de 2020,33826
144,Turismo no espaço rural e de habitação,Dezembro de 2019,42967
145,Turismo no espaço rural e de habitação,Novembro de 2019,48134
146,Turismo no espaço rural e de habitação,Outubro de 2019,77487
147,Turismo no espaço rural e de habitação,Setembro de 2019,111707
148,Turismo no espaço rural e de habitação,Agosto de 2019,166438
149,Turismo no espaço rural e de habitação,Julho de 2019,116599
150,Turismo no espaço rural e de habitação,Junho de 2019,104596
151,Turismo no espaço rural e de habitação,Maio de 2019,84516
152,Turismo no espaço rural e de habitação,Abril de 2019,79888
153,Turismo no espaço rural e de habitação,Março de 2019,52710
154,Turismo no espaço rural e de habitação,Fevereiro de 2019,35083
155,Turismo no espaço rural e de habitação,Janeiro de 2019,28312
156,Turismo no espaço rural e de habitação,Dezembro de 2018,40671
157,Turismo no espaço rural e de habitação,Novembro de 2018,36322
158,Turismo no espaço rural e de habitação,Outubro de 2018,75221
159,Turismo no espaço rural e de habitação,Setembro de 2018,104429
160,Turismo no espaço rural e de habitação,Agosto de 2018,149131
161,Turismo no espaço rural e de habitação,Julho de 2018,108933
162,Turismo no espaço rural e de habitação,Junho de 2018,84451
163,Turismo no espaço rural e de habitação,Maio de 2018,78236
164,Turismo no espaço rural e de habitação,Abril de 2018,62687
165,Turismo no espaço rural e de habitação,Março de 2018,46756
166,Turismo no espaço rural e de habitação,Fevereiro de 2018,35737
167,Turismo no espaço rural e de habitação,Janeiro de 2018,26091
168,Turismo no espaço rural e de habitação,Dezembro de 2017,40611
169,Turismo no espaço rural e de habitação,Novembro de 2017,31728
170,Turismo no espaço rural e de habitação,Outubro de 2017,69411
171,Turismo no espaço rural e de habitação,Setembro de 2017,97386
172,Turismo no espaço rural e de habitação,Agosto de 2017,136157
173,Turismo no espaço rural e de habitação,Julho de 2017,102501
174,Turismo no espaço rural e de habitação,Junho de 2017,79477
175,Turismo no espaço rural e de habitação,Maio de 2017,68093
176,Turismo no espaço rural e de habitação,Abril de 2017,75208
177,Turismo no espaço rural e de habitação,Março de 2017,37245
178,Turismo no espaço rural e de habitação,Fevereiro de 2017,32497
179,Turismo no espaço rural e de habitação,Janeiro de 2017,24434
