;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Inquérito à Permanência de Hóspedes na Hotelaria e Outros Alojamentos: 
resultados globais incluindo AL (? 10 camas) e TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Survey on Guests Stays on Hotel Establishments and Other Accommodations: 
global results including AL (10 or more beds) and TER (a)";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Dormidas de não residentes nos estabelecimentos de alojamento turístico, por países de residência;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8. Overnight stays in tourist accommodation establishments by non-residents, by country of residence;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;; ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;Unidade/Unit: nº ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Anos e meses;Total;Reino Unido;Alemanha;Espanha;França;Países Baixos;Brasil;Itália;EUA;Bélgica;Suiça;Polónia;Canadá;Suécia;Irlanda;Dinamarca;Rússia;China;Outros;Year / month;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Março ;2 010 511;412 361;374 454;166 822;148 643;148 053;91 717;47 109;48 389;37 802;32 183;19 716;40 408;72 152;27 675;46 367;30 689;12 263;253 708;March ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Abril ;2 903 480;626 072;425 180;374 514;274 472;158 726;137 680;69 457;67 662;73 149;58 603;26 612;32 499;69 327;87 949;46 277;34 807;18 701;321 793;April ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Maio ;3 444 937;833 388;461 181;275 831;420 897;230 513;159 517;74 179;100 553;89 573;61 084;38 835;38 882;52 221;149 596;31 772;42 064;20 663;364 188;May ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Junho;3 473 354;939 469;460 429;285 823;328 119;222 700;112 185;78 013;102 500;97 620;56 423;64 703;36 950;36 337;190 761;30 428;54 314;19 697;356 883;June ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Julho ;4 177 938;950 191;400 097;545 812;366 646;315 652;132 342;112 956;106 774;143 823;85 584;98 928;50 628;57 304;200 262;59 386;85 428;25 886;440 239;July ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Agosto ;4 707 862;977 888;476 834;909 099;629 499;286 888;127 136;201 019;82 576;105 629;59 112;87 371;39 077;31 638;166 611;36 213;89 654;20 841;380 777;August ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Setembro ;3 974 479;1 024 557;579 346;367 422;347 036;236 302;172 208;91 566;111 790;108 814;65 808;77 429;53 907;43 518;167 218;39 101;77 841;21 352;389 264;September ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Outubro;3 382 366;876 995;539 402;253 129;278 238;193 020;165 047;76 592;110 896;67 698;69 519;41 975;41 897;79 672;127 250;37 198;39 822;23 112;360 904;October;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Novembro ;1 705 081;311 529;301 234;150 601;145 063;93 101;90 813;52 196;53 604;36 419;29 836;22 462;22 478;60 561;24 191;30 679;25 958;15 411;238 945;November ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Dezembro;1 325 042;231 347;188 380;188 143;109 106;77 541;90 965;57 415;32 621;22 025;20 844;14 409;8 629;32 972;13 735;22 757;14 982;15 208;183 963;December;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;36 805 943;8 580 355;5 186 874;3 935 817;3 662 990;2 315 685;1 413 082;1 153 907;1 061 056;904 449;689 181;658 291;467 778;620 275;1 255 421;440 148;339 325;290 179;3 831 130;2015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Janeiro ;1 385 302;276 292;199 991;122 341;108 004;93 961;121 919;56 185;31 715;21 420;17 839;17 813;12 451;26 879;16 424;32 080;27 862;12 552;189 574;January ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fevereiro;1 616 376;345 925;263 538;137 893;138 771;133 260;92 332;44 939;31 206;30 643;26 335;19 668;31 516;38 178;22 735;41 075;9 975;26 184;182 203;February ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
