,Type,Date,Value
141,Turismo no espaço rural e de habitação,Março de 2020,37499
142,Turismo no espaço rural e de habitação,Fevereiro de 2020,86357
143,Turismo no espaço rural e de habitação,Janeiro de 2020,59405
144,Turismo no espaço rural e de habitação,Dezembro de 2019,80837
145,Turismo no espaço rural e de habitação,Novembro de 2019,85965
146,Turismo no espaço rural e de habitação,Outubro de 2019,149127
147,Turismo no espaço rural e de habitação,Setembro de 2019,228104
148,Turismo no espaço rural e de habitação,Agosto de 2019,401182
149,Turismo no espaço rural e de habitação,Julho de 2019,275881
150,Turismo no espaço rural e de habitação,Junho de 2019,213184
151,Turismo no espaço rural e de habitação,Maio de 2019,162829
152,Turismo no espaço rural e de habitação,Abril de 2019,157489
153,Turismo no espaço rural e de habitação,Março de 2019,95262
154,Turismo no espaço rural e de habitação,Fevereiro de 2019,62459
155,Turismo no espaço rural e de habitação,Janeiro de 2019,52456
156,Turismo no espaço rural e de habitação,Dezembro de 2018,77754
157,Turismo no espaço rural e de habitação,Novembro de 2018,70526
158,Turismo no espaço rural e de habitação,Outubro de 2018,147317
159,Turismo no espaço rural e de habitação,Setembro de 2018,212241
160,Turismo no espaço rural e de habitação,Agosto de 2018,365672
161,Turismo no espaço rural e de habitação,Julho de 2018,259090
162,Turismo no espaço rural e de habitação,Junho de 2018,173181
163,Turismo no espaço rural e de habitação,Maio de 2018,156428
164,Turismo no espaço rural e de habitação,Abril de 2018,122696
165,Turismo no espaço rural e de habitação,Março de 2018,90284
166,Turismo no espaço rural e de habitação,Fevereiro de 2018,67386
167,Turismo no espaço rural e de habitação,Janeiro de 2018,48188
168,Turismo no espaço rural e de habitação,Dezembro de 2017,79882
169,Turismo no espaço rural e de habitação,Novembro de 2017,63672
170,Turismo no espaço rural e de habitação,Outubro de 2017,138919
171,Turismo no espaço rural e de habitação,Setembro de 2017,204563
172,Turismo no espaço rural e de habitação,Agosto de 2017,346368
173,Turismo no espaço rural e de habitação,Julho de 2017,247071
174,Turismo no espaço rural e de habitação,Junho de 2017,168453
175,Turismo no espaço rural e de habitação,Maio de 2017,133812
176,Turismo no espaço rural e de habitação,Abril de 2017,148148
177,Turismo no espaço rural e de habitação,Março de 2017,68090
178,Turismo no espaço rural e de habitação,Fevereiro de 2017,58722
179,Turismo no espaço rural e de habitação,Janeiro de 2017,42290
