,Type,Guests,month,year
156,Turismo no espaço rural e de habitação,40671,December, 2018
157,Turismo no espaço rural e de habitação,36322,November, 2018
158,Turismo no espaço rural e de habitação,75221,October, 2018
159,Turismo no espaço rural e de habitação,104429,September, 2018
160,Turismo no espaço rural e de habitação,149131,August, 2018
161,Turismo no espaço rural e de habitação,108933,July, 2018
162,Turismo no espaço rural e de habitação,84451,June, 2018
163,Turismo no espaço rural e de habitação,78236,May, 2018
164,Turismo no espaço rural e de habitação,62687,April, 2018
165,Turismo no espaço rural e de habitação,46756,March, 2018
166,Turismo no espaço rural e de habitação,35737,February, 2018
167,Turismo no espaço rural e de habitação,26091,January, 2018
168,Turismo no espaço rural e de habitação,40611,December, 2017
169,Turismo no espaço rural e de habitação,31728,November, 2017
170,Turismo no espaço rural e de habitação,69411,October, 2017
171,Turismo no espaço rural e de habitação,97386,September, 2017
172,Turismo no espaço rural e de habitação,136157,August, 2017
173,Turismo no espaço rural e de habitação,102501,July, 2017
174,Turismo no espaço rural e de habitação,79477,June, 2017
175,Turismo no espaço rural e de habitação,68093,May, 2017
176,Turismo no espaço rural e de habitação,75208,April, 2017
177,Turismo no espaço rural e de habitação,37245,March, 2017
178,Turismo no espaço rural e de habitação,32497,February, 2017
179,Turismo no espaço rural e de habitação,24434,January, 2017
